Date, C,VWAP(20),Amount invested = 1000 per month
31-01-05 0:00,35.99,31.20805664,27.78549597
28-02-05 0:00,35.55,31.62157505,28.12939522
31-03-05 0:00,39.2,32.34332981,25.51020408
29-04-05 0:00,37.21,32.80682221,26.8744961
31-05-05 0:00,38.42,33.34141057,26.02811036
30-06-05 0:00,41.1,34.08032385,24.33090024
29-07-05 0:00,45.56,35.17362634,21.94907814
31-08-05 0:00,48.46,36.43899526,20.63557573
30-09-05 0:00,50.47,37.77528143,19.81375074
31-10-05 0:00,48.4,38.78715938,20.66115702
30-11-05 0:00,52.53,40.09600135,19.03674091
30-12-05 0:00,57.88,41.78971551,17.27712509
31-01-06 0:00,61.44,43.66117117,16.27604167
28-02-06 0:00,66.96,45.88010725,14.93428913
31-03-06 0:00,64.61,47.66390656,15.47748027
29-04-06 0:00,64.39,49.25686784,15.53036186
31-05-06 0:00,57.06,50.00002328,17.52541185
30-06-06 0:00,59.21,50.87716392,16.88903901
31-07-06 0:00,61.03,51.84410069,16.38538424
31-08-06 0:00,63.59,52.96275777,15.72574304
29-09-06 0:00,67.61,54.35773322,14.79071143
31-10-06 0:00,66.88,55.55033006,14.95215311
30-11-06 0:00,71.31,57.051251,14.02327864
29-12-06 0:00,73.65,58.63208424,13.57773252
31-01-07 0:00,79.59,60.62807622,12.56439251
28-02-07 0:00,73.71,61.87397372,13.56668023
30-03-07 0:00,76.26,63.24407146,13.11303436
30-04-07 0:00,79.09,64.75320751,12.64382349
31-05-07 0:00,83.02,66.49290204,12.04529029
29-06-07 0:00,81.02,67.87643518,12.34263145
31-07-07 0:00,88.59,69.84915563,11.28795575
31-08-07 0:00,94.3,72.17780748,10.60445387
28-09-07 0:00,98.84,74.71706391,10.11736139
31-10-07 0:00,103.23,77.43258163,9.687106461
30-11-07 0:00,99,79.48662148,10.1010101
31-12-07 0:00,109.96,82.388848,9.094216079
31-01-08 0:00,124.62,86.41086248,8.024394158
29-02-08 0:00,111.5,88.80030415,8.968609865
31-03-08 0:00,119.99,91.77075137,8.334027836
30-04-08 0:00,128.03,95.22401315,7.810669374
30-05-08 0:00,128.59,98.40172618,7.776654483
30-06-08 0:00,114.93,99.9758475,8.700948403
31-07-08 0:00,120.45,101.9257668,8.302200083
29-08-08 0:00,122.93,103.9261699,8.134710811
30-09-08 0:00,118.72,105.3351061,8.423180593
31-10-08 0:00,95.49,104.397477,10.47230076
28-11-08 0:00,88.96,102.9272411,11.24100719
31-12-08 0:00,89.5,101.6484562,11.17318436
30-01-09 0:00,78.88,99.48003182,12.67748479
27-02-09 0:00,78.64,97.49526688,12.71617497
31-03-09 0:00,78.64,95.69952718,12.71617497
29-04-09 0:00,88.83,95.04528649,11.25745807
29-05-09 0:00,108,96.27906873,9.259259259
30-06-09 0:00,118.78,98.42201457,8.418925745
31-07-09 0:00,141.14,102.4903941,7.085163667
31-08-09 0:00,140.03,106.0655947,7.141326859
30-09-09 0:00,140.58,109.3526809,7.113387395
30-10-09 0:00,164.23,114.5790923,6.089021494
30-11-09 0:00,167.97,119.6639406,5.953444067
31-12-09 0:00,179.72,125.3835653,5.564210995
29-01-10 0:00,185.22,131.0822734,5.398984991
26-02-10 0:00,181,135.8363426,5.524861878
31-03-10 0:00,203.89,142.3176433,4.904605424
30-04-10 0:00,207.88,148.5616773,4.810467577
31-05-10 0:00,208.61,154.2805651,4.793634054
30-06-10 0:00,230.18,161.5090827,4.344426101
30-07-10 0:00,260.34,170.9215511,3.841130829
31-08-10 0:00,276.27,180.9547367,3.619647446
30-09-10 0:00,266.32,189.0847617,3.754881346
29-10-10 0:00,268.78,196.6747844,3.720514919
30-11-10 0:00,264.89,203.1714716,3.77515195
31-12-10 0:00,287.87,211.2379981,3.473790253
31-01-11 0:00,257.75,215.6677126,3.879728419
28-02-11 0:00,240.07,217.99174,4.165451743
31-03-11 0:00,252.58,221.28586,3.959141658
29-04-11 0:00,277.46,226.6357781,3.604123117
31-05-11 0:00,313.34,234.893323,3.191421459
30-06-11 0:00,318.51,242.8568161,3.13961885
29-07-11 0:00,313.4,249.5752145,3.190810466
30-08-11 0:00,328.61,257.102337,3.043121025
30-09-11 0:00,315.76,262.6887811,3.16696225
31-10-11 0:00,315.96,267.7622305,3.16495759
30-11-11 0:00,287.94,269.6839228,3.472945753
30-12-11 0:00,259.24,268.6892635,3.857429409
31-01-12 0:00,299.53,271.6264765,3.33856375
29-02-12 0:00,317.06,275.9534787,3.153977165
30-03-12 0:00,324.2,280.5483855,3.084515731
30-04-12 0:00,352.68,287.4180631,2.835431553
31-05-12 0:00,402.16,298.3458666,2.486572508
29-06-12 0:00,388.86,306.9662603,2.571619606
31-07-12 0:00,364.23,312.4199498,2.745517942
31-08-12 0:00,364.07,317.3390022,2.746724531
28-09-12 0:00,393.48,324.5905258,2.541425231
31-10-12 0:00,387.12,330.5457138,2.583178343
30-11-12 0:00,433.04,340.3070744,2.309255496
31-12-12 0:00,443.26,350.1121149,2.256012273
31-01-13 0:00,450.12,359.6366754,2.221629788
28-02-13 0:00,427.22,366.0731825,2.340714386
28-03-13 0:00,491.73,378.0404985,2.033636345
30-04-13 0:00,468.13,386.620451,2.136158759
31-05-13 0:00,486.31,396.1146938,2.056301536
28-06-13 0:00,463.65,402.5466277,2.15679931
31-07-13 0:00,507.6,412.5517108,1.970055162
30-08-13 0:00,420.95,413.3515478,2.375579047
30-09-13 0:00,459.25,417.722829,2.177463255
31-10-13 0:00,539.45,429.3158929,1.85373992
29-11-13 0:00,503.65,436.3953317,1.985505808
31-12-13 0:00,490,441.5005382,2.040816327
31-01-14 0:00,471.7,444.3766774,2.11999152
28-02-14 0:00,473,447.1027081,2.114164905
31-03-14 0:00,547.95,456.7072121,1.824984031
30-04-14 0:00,505.15,461.320811,1.979610017
30-05-14 0:00,507.6,465.7283528,1.970055162
30-06-14 0:00,594,477.9447001,1.683501684
31-07-14 0:00,628.65,492.2975858,1.590710252
28-08-14 0:00,624.2,504.8597205,1.602050625
30-09-14 0:00,629.55,516.7349852,1.588436185
31-10-14 0:00,657,530.0935581,1.522070015
28-11-14 0:00,744.7,550.5322668,1.342822613
31-12-14 0:00,752.3,569.7482414,1.329256945
30-01-15 0:00,857.75,597.1769803,1.165840863
28-02-15 0:00,818.6,618.264887,1.22159785
31-03-15 0:00,811.3,636.6491834,1.232589671
30-04-15 0:00,762.45,648.6302136,1.311561414
29-05-15 0:00,787.05,661.8130504,1.270567308
30-06-15 0:00,755.35,670.7213313,1.323889588
31-07-15 0:00,882.8,690.9192997,1.132759402
31-08-15 0:00,848.6,705.9365093,1.178411501
30-09-15 0:00,841.6,718.8568417,1.188212928
30-10-15 0:00,830.65,729.5038092,1.203876482
